Number,Role,First Name,Last Name,Email,Job Title
1,sales,张,伟,zhang.wei@company.com,销售经理
2,customer advisory,李,明,li.ming@company.com,客户顾问
3,customer success management,王,芳,wang.fang@company.com,成功经理
4,support engineering,刘,刚,liu.gang@company.com,支持工程师
5,sales,陈,静,chen.jing@company.com,销售代表
6,customer advisory,杨,洋,yang.yang@company.com,客户顾问
7,product management,赵,雷,zhao.lei@company.com,产品经理
8,marketing,孙,丽,sun.li@company.com,市场专员
9,hr,周,强,zhou.qiang@company.com,人力资源
10,finance,吴,娜,wu.na@company.com,财务分析师
11,it,徐,波,xu.bo@company.com,技术工程师
12,sales,马,超,ma.chao@company.com,销售代表
13,customer advisory,林,美,lin.mei@company.com,客户顾问
14,support engineering,郭,飞,guo.fei@company.com,技术支持
15,customer success management,何,军,he.jun@company.com,客户成功
16,sales,罗,英,luo.ying@company.com,销售经理
17,customer advisory,梁,华,liang.hua@company.com,客户顾问
18,product management,谢,敏,xie.min@company.com,产品经理
19,marketing,韩,磊,han.lei@company.com,市场经理
20,support engineering,曹,霞,cao.xia@company.com,支持工程师
